Kanji,Hiragana,English,PronunciationURL
返す,かえす,to return something,https://minio.012140.xyz/jlpt/n5-vocabulary/0129_かえす.mp3
帰る,かえる,to go back,https://minio.012140.xyz/jlpt/n5-vocabulary/0130_かえる.mp3
,かぎ,Key,https://minio.012140.xyz/jlpt/n5-vocabulary/0131_かぎ.mp3
書く,かく,to write,https://minio.012140.xyz/jlpt/n5-vocabulary/0132_かく.mp3
学生,がくせい,Student,https://minio.012140.xyz/jlpt/n5-vocabulary/0133_がくせい.mp3
傘,かさ,Umbrella,https://minio.012140.xyz/jlpt/n5-vocabulary/0134_かさ.mp3
貸す,かす,to lend,https://minio.012140.xyz/jlpt/n5-vocabulary/0135_かす.mp3
風,かぜ,Wind,https://minio.012140.xyz/jlpt/n5-vocabulary/0136_かぜ.mp3
風邪,かぜ,a cold,https://minio.012140.xyz/jlpt/n5-vocabulary/0136_かぜ.mp3
家族,かぞく,Family,https://minio.012140.xyz/jlpt/n5-vocabulary/0138_かぞく.mp3
方,かた,"person, way of doing",https://minio.012140.xyz/jlpt/n5-vocabulary/0139_かた.mp3
学校,がっこう,School,https://minio.012140.xyz/jlpt/n5-vocabulary/0140_がっこう.mp3
家庭,かてい,Household,https://minio.012140.xyz/jlpt/n5-vocabulary/0141_かてい.mp3
角,かど,a corner,https://minio.012140.xyz/jlpt/n5-vocabulary/0142_かど.mp3
花瓶,かびん,a vase,https://minio.012140.xyz/jlpt/n5-vocabulary/0143_かびん.mp3
紙,かみ,paper,https://minio.012140.xyz/jlpt/n5-vocabulary/0144_かみ.mp3
火曜日,かようび,Tuesday,https://minio.012140.xyz/jlpt/n5-vocabulary/0145_かようび.mp3
辛い,からい,Spicy,https://minio.012140.xyz/jlpt/n5-vocabulary/0146_からい.mp3
体,からだ,Body,https://minio.012140.xyz/jlpt/n5-vocabulary/0147_からだ.mp3
借りる,かりる,to borrow,https://minio.012140.xyz/jlpt/n5-vocabulary/0148_かりる.mp3
軽い,かるい,Light,https://minio.012140.xyz/jlpt/n5-vocabulary/0149_かるい.mp3
川/河,かわ,River,https://minio.012140.xyz/jlpt/n5-vocabulary/0150_かわ.mp3
,かわいい,Cute,https://minio.012140.xyz/jlpt/n5-vocabulary/0151_かわいい.mp3
漢字,かんじ,Chinese character,https://minio.012140.xyz/jlpt/n5-vocabulary/0152_かんじ.mp3
木,き,"tree, wood",https://minio.012140.xyz/jlpt/n5-vocabulary/0153_き.mp3
黄色,きいろ,yellow,https://minio.012140.xyz/jlpt/n5-vocabulary/0154_きいろ.mp3
黄色い,きいろい,yellow,https://minio.012140.xyz/jlpt/n5-vocabulary/0155_きいろい.mp3
消える,きえる,to disappear,https://minio.012140.xyz/jlpt/n5-vocabulary/0156_きえる.mp3
聞く,きく,"to hear, to listen to, to ask",https://minio.012140.xyz/jlpt/n5-vocabulary/0157_きく.mp3
北,きた,North,https://minio.012140.xyz/jlpt/n5-vocabulary/0158_きた.mp3
汚い,きたない,Dirty,https://minio.012140.xyz/jlpt/n5-vocabulary/0159_きたない.mp3
喫茶店,きっさてん,coffee lounge,https://minio.012140.xyz/jlpt/n5-vocabulary/0160_きっさてん.mp3
切手,きって,postage stamp,https://minio.012140.xyz/jlpt/n5-vocabulary/0161_きって.mp3
切符,きっぷ,Ticket,https://minio.012140.xyz/jlpt/n5-vocabulary/0162_きっぷ.mp3
昨日,きのう,Yesterday,https://minio.012140.xyz/jlpt/n5-vocabulary/0163_きのう.mp3
九,きゅう,/ く Nine,https://minio.012140.xyz/jlpt/n5-vocabulary/0164_きゅう.mp3
牛肉,ぎゅうにく,Beef,https://minio.012140.xyz/jlpt/n5-vocabulary/0165_ぎゅうにく.mp3
牛乳,ぎゅうにゅう,Milk,https://minio.012140.xyz/jlpt/n5-vocabulary/0166_ぎゅうにゅう.mp3
今日,きょう,Today,https://minio.012140.xyz/jlpt/n5-vocabulary/0167_きょう.mp3
教室,きょうしつ,Classroom,https://minio.012140.xyz/jlpt/n5-vocabulary/0168_きょうしつ.mp3
兄弟,きょうだい,(humble) siblings,https://minio.012140.xyz/jlpt/n5-vocabulary/0169_きょうだい.mp3
去年,きょねん,last year,https://minio.012140.xyz/jlpt/n5-vocabulary/0170_きょねん.mp3
嫌い,きらい,Hate,https://minio.012140.xyz/jlpt/n5-vocabulary/0171_きらい.mp3
切る,きる,to cut,https://minio.012140.xyz/jlpt/n5-vocabulary/0172_きる.mp3
着る,きる,to put on from the shoulders down,https://minio.012140.xyz/jlpt/n5-vocabulary/0172_きる.mp3
銀行,ぎんこう,Bank,https://minio.012140.xyz/jlpt/n5-vocabulary/0174_ぎんこう.mp3
金曜日,きんようび,Friday,https://minio.012140.xyz/jlpt/n5-vocabulary/0175_きんようび.mp3
薬,くすり,medicine,https://minio.012140.xyz/jlpt/n5-vocabulary/0176_くすり.mp3
,ください,Please,https://minio.012140.xyz/jlpt/n5-vocabulary/0177_ください.mp3
果物,くだもの,Fruit,https://minio.012140.xyz/jlpt/n5-vocabulary/0178_くだもの.mp3
口,くち,"mouth, opening",https://minio.012140.xyz/jlpt/n5-vocabulary/0179_くち.mp3
靴,くつ,Shoes,https://minio.012140.xyz/jlpt/n5-vocabulary/0180_くつ.mp3
靴下,くつした,Socks,https://minio.012140.xyz/jlpt/n5-vocabulary/0181_くつした.mp3
国,くに,Country,https://minio.012140.xyz/jlpt/n5-vocabulary/0182_くに.mp3
曇り,くもり,cloudy weather,https://minio.012140.xyz/jlpt/n5-vocabulary/0183_くもり.mp3
曇る,くもる,"to become cloudy, to become dim",https://minio.012140.xyz/jlpt/n5-vocabulary/0184_くもる.mp3
暗い,くらい,Gloomy,https://minio.012140.xyz/jlpt/n5-vocabulary/0185_くらい.mp3
来る,くる,to come,https://minio.012140.xyz/jlpt/n5-vocabulary/0186_くる.mp3
車,くるま,"car, vehicle",https://minio.012140.xyz/jlpt/n5-vocabulary/0187_くるま.mp3
黒,くろ,Black,https://minio.012140.xyz/jlpt/n5-vocabulary/0188_くろ.mp3
黒い,くろい,black,https://minio.012140.xyz/jlpt/n5-vocabulary/0189_くろい.mp3
警官,けいかん,policeman,https://minio.012140.xyz/jlpt/n5-vocabulary/0190_けいかん.mp3
今朝,けさ,this morning,https://minio.012140.xyz/jlpt/n5-vocabulary/0191_けさ.mp3
消す,けす,"to erase, to turn off power",https://minio.012140.xyz/jlpt/n5-vocabulary/0192_けす.mp3
結構,けっこう,"splendid, enough",https://minio.012140.xyz/jlpt/n5-vocabulary/0193_けっこう.mp3
結婚,けっこん,Marriage,https://minio.012140.xyz/jlpt/n5-vocabulary/0194_けっこん.mp3
月曜日,げつようび,Monday,https://minio.012140.xyz/jlpt/n5-vocabulary/0195_げつようび.mp3
玄関,げんかん,entry hall,https://minio.012140.xyz/jlpt/n5-vocabulary/0196_げんかん.mp3
元気,げんき,"health, vitality",https://minio.012140.xyz/jlpt/n5-vocabulary/0197_げんき.mp3
五,ご,Five,https://minio.012140.xyz/jlpt/n5-vocabulary/0198_ご.mp3
公園,こうえん,Park,https://minio.012140.xyz/jlpt/n5-vocabulary/0199_こうえん.mp3
交差点,こうさてん,intersection,https://minio.012140.xyz/jlpt/n5-vocabulary/0200_こうさてん.mp3
紅茶,こうちゃ,black tea,https://minio.012140.xyz/jlpt/n5-vocabulary/0201_こうちゃ.mp3
交番,こうばん,police box,https://minio.012140.xyz/jlpt/n5-vocabulary/0202_こうばん.mp3
声,こえ,Voice,https://minio.012140.xyz/jlpt/n5-vocabulary/0203_こえ.mp3
,ここ,Here,https://minio.012140.xyz/jlpt/n5-vocabulary/0204_ここ.mp3
午後,ごご,afternoon,https://minio.012140.xyz/jlpt/n5-vocabulary/0205_ごご.mp3
九日,ここのか,"nine days, ninth day",https://minio.012140.xyz/jlpt/n5-vocabulary/0206_ここのか.mp3
九つ,ここのつ,Nine,https://minio.012140.xyz/jlpt/n5-vocabulary/0207_ここのつ.mp3
午前,ごぜん,morning,https://minio.012140.xyz/jlpt/n5-vocabulary/0208_ごぜん.mp3
答える,こたえる,to answer,https://minio.012140.xyz/jlpt/n5-vocabulary/0209_こたえる.mp3
今年,ことし,this year,https://minio.012140.xyz/jlpt/n5-vocabulary/0210_ことし.mp3
言葉,ことば,"word, language",https://minio.012140.xyz/jlpt/n5-vocabulary/0211_ことば.mp3
子供,こども,Child,https://minio.012140.xyz/jlpt/n5-vocabulary/0212_こども.mp3
,この,This,https://minio.012140.xyz/jlpt/n5-vocabulary/0213_この.mp3
御飯,ごはん,"cooked rice, meal",https://minio.012140.xyz/jlpt/n5-vocabulary/0214_ごはん.mp3
困る,こまる,to be worried,https://minio.012140.xyz/jlpt/n5-vocabulary/0215_こまる.mp3
,これ,This,https://minio.012140.xyz/jlpt/n5-vocabulary/0216_これ.mp3
今月,こんげつ,this month,https://minio.012140.xyz/jlpt/n5-vocabulary/0217_こんげつ.mp3
今週,こんしゅう,this week,https://minio.012140.xyz/jlpt/n5-vocabulary/0218_こんしゅう.mp3
,こんな,Such,https://minio.012140.xyz/jlpt/n5-vocabulary/0219_こんな.mp3
今晩,こんばん,this evening,https://minio.012140.xyz/jlpt/n5-vocabulary/0220_こんばん.mp3
,さあ,well…,https://minio.012140.xyz/jlpt/n5-vocabulary/0221_さあ.mp3
財布,さいふ,Wallet,https://minio.012140.xyz/jlpt/n5-vocabulary/0222_さいふ.mp3
魚,さかな,Fish,https://minio.012140.xyz/jlpt/n5-vocabulary/0223_さかな.mp3
先,さき,"the future, previous",https://minio.012140.xyz/jlpt/n5-vocabulary/0224_さき.mp3
咲く,さく,to bloom,https://minio.012140.xyz/jlpt/n5-vocabulary/0225_さく.mp3
作文,さくぶん,"composition, writing",https://minio.012140.xyz/jlpt/n5-vocabulary/0226_さくぶん.mp3
差す,さす,to point,https://minio.012140.xyz/jlpt/n5-vocabulary/0227_さす.mp3
雑誌,ざっし,Magazine,https://minio.012140.xyz/jlpt/n5-vocabulary/0228_ざっし.mp3
砂糖,さとう,Sugar,https://minio.012140.xyz/jlpt/n5-vocabulary/0229_さとう.mp3
寒い,さむい,Cold,https://minio.012140.xyz/jlpt/n5-vocabulary/0230_さむい.mp3
さ来年,さらいねん,year after next,https://minio.012140.xyz/jlpt/n5-vocabulary/0231_さらいねん.mp3
三,さん,Three,https://minio.012140.xyz/jlpt/n5-vocabulary/0232_さん.mp3
散歩,さんぽする,to stroll,https://minio.012140.xyz/jlpt/n5-vocabulary/0233_さんぽする.mp3
四,し,/ よん Four,https://minio.012140.xyz/jlpt/n5-vocabulary/0234_し.mp3
塩,しお,Salt,https://minio.012140.xyz/jlpt/n5-vocabulary/0235_しお.mp3
